index,date,treatment,repetition,width_in_cm
0,2024-07-31,TA,R1,4.0
1,2024-07-31,TA,R1,4.0
2,2024-07-31,TA,R1,3.0
3,2024-07-31,TA,R1,2.0
4,2024-07-31,TA,R2,3.0
5,2024-07-31,TA,R2,2.0
6,2024-07-31,TA,R2,2.0
7,2024-07-31,TA,R2,2.0
8,2024-07-31,TA,R3,3.0
9,2024-07-31,TA,R3,2.0
10,2024-07-31,TA,R3,3.0
11,2024-07-31,TA,R3,3.0
12,2024-07-31,TA,R4,2.0
13,2024-07-31,TA,R4,3.0
14,2024-07-31,TA,R4,2.0
15,2024-07-31,TA,R4,3.0
16,2024-07-31,TA,R5,3.0
17,2024-07-31,TA,R5,3.0
18,2024-07-31,TA,R5,3.0
19,2024-07-31,TA,R5,2.0
20,2024-07-31,TB,R1,3.0
21,2024-07-31,TB,R1,2.0
22,2024-07-31,TB,R1,3.0
23,2024-07-31,TB,R1,2.0
24,2024-07-31,TB,R2,3.0
25,2024-07-31,TB,R2,2.0
26,2024-07-31,TB,R2,3.0
27,2024-07-31,TB,R2,2.0
28,2024-07-31,TB,R3,3.0
29,2024-07-31,TB,R3,3.0
30,2024-07-31,TB,R3,2.0
31,2024-07-31,TB,R3,3.0
32,2024-07-31,TB,R4,2.0
33,2024-07-31,TB,R4,2.0
34,2024-07-31,TB,R4,3.0
35,2024-07-31,TB,R4,3.0
36,2024-07-31,TB,R5,2.0
37,2024-07-31,TB,R5,3.0
38,2024-07-31,TB,R5,2.0
39,2024-07-31,TB,R5,2.0
40,2024-07-31,TC,R1,3.0
41,2024-07-31,TC,R1,2.0
42,2024-07-31,TC,R1,3.0
43,2024-07-31,TC,R1,2.0
44,2024-07-31,TC,R2,2.0
45,2024-07-31,TC,R2,3.0
46,2024-07-31,TC,R2,3.0
47,2024-07-31,TC,R2,3.0
48,2024-07-31,TC,R3,3.0
49,2024-07-31,TC,R3,4.0
50,2024-07-31,TC,R3,3.0
51,2024-07-31,TC,R3,3.0
52,2024-07-31,TC,R4,2.0
53,2024-07-31,TC,R4,2.0
54,2024-07-31,TC,R4,3.0
55,2024-07-31,TC,R4,2.0
56,2024-07-31,TC,R5,2.0
57,2024-07-31,TC,R5,2.0
58,2024-07-31,TC,R5,3.0
59,2024-07-31,TC,R5,4.0
60,2024-08-07,TA,R1,2.5
61,2024-08-07,TA,R1,3.0
62,2024-08-07,TA,R1,3.5
63,2024-08-07,TA,R1,4.0
64,2024-08-07,TC,R1,3.5
65,2024-08-07,TC,R1,3.0
66,2024-08-07,TC,R1,2.5
67,2024-08-07,TC,R1,3.5
68,2024-08-07,TA,R4,2.0
69,2024-08-07,TA,R4,3.0
70,2024-08-07,TA,R4,2.0
71,2024-08-07,TA,R4,3.0
72,2024-08-07,TB,R4,2.0
73,2024-08-07,TB,R4,2.0
74,2024-08-07,TB,R4,3.0
75,2024-08-07,TB,R4,4.0
76,2024-08-07,TB,R1,4.0
77,2024-08-07,TB,R1,3.0
78,2024-08-07,TB,R1,3.0
79,2024-08-07,TB,R1,4.0
80,2024-08-07,TA,R3,2.0
81,2024-08-07,TA,R3,2.0
82,2024-08-07,TA,R3,2.0
83,2024-08-07,TA,R3,2.0
84,2024-08-07,TC,R2,2.0
85,2024-08-07,TC,R2,2.0
86,2024-08-07,TC,R2,2.0
87,2024-08-07,TC,R2,3.0
88,2024-08-07,TC,R5,3.0
89,2024-08-07,TC,R5,3.0
90,2024-08-07,TC,R5,3.0
91,2024-08-07,TC,R5,4.0
92,2024-08-07,TA,R5,3.0
93,2024-08-07,TA,R5,2.0
94,2024-08-07,TA,R5,3.0
95,2024-08-07,TA,R5,3.0
96,2024-08-07,TB,R2,2.5
97,2024-08-07,TB,R2,3.0
98,2024-08-07,TB,R2,3.0
99,2024-08-07,TB,R2,4.0
100,2024-08-07,TC,R4,3.0
101,2024-08-07,TC,R4,3.5
