treatment,repetition,date,length_in_cm
TA,R1,2024-07-31,20.0
TA,R1,2024-07-31,23.0
TA,R1,2024-07-31,19.0
TA,R1,2024-07-31,16.0
TA,R1,2024-08-07,17.0
TA,R1,2024-08-07,19.0
TA,R1,2024-08-07,20.0
TA,R1,2024-08-07,26.0
TA,R1,2024-08-14,18.0
TA,R1,2024-08-14,19.0
TA,R1,2024-08-14,21.0
TA,R1,2024-08-14,26.0
TA,R2,2024-07-31,17.0
TA,R2,2024-07-31,18.0
TA,R2,2024-07-31,16.0
TA,R2,2024-07-31,17.0
TA,R2,2024-08-07,16.5
TA,R2,2024-08-07,20.0
TA,R2,2024-08-07,18.0
TA,R2,2024-08-07,24.0
TA,R2,2024-08-14,24.0
TA,R2,2024-08-14,20.0
TA,R2,2024-08-14,17.0
TA,R2,2024-08-14,19.0
TA,R3,2024-07-31,21.0
TA,R3,2024-07-31,17.0
TA,R3,2024-07-31,19.0
TA,R3,2024-07-31,18.0
TA,R3,2024-08-07,15.0
TA,R3,2024-08-07,16.5
TA,R3,2024-08-07,15.0
TA,R3,2024-08-07,19.0
TA,R3,2024-08-14,16.0
TA,R3,2024-08-14,17.0
TA,R3,2024-08-14,20.0
TA,R3,2024-08-14,15.0
TA,R4,2024-07-31,16.0
TA,R4,2024-07-31,20.0
TA,R4,2024-07-31,19.0
TA,R4,2024-07-31,19.0
TA,R4,2024-08-07,16.5
TA,R4,2024-08-07,21.0
TA,R4,2024-08-07,17.0
TA,R4,2024-08-07,18.0
TA,R4,2024-08-14,19.0
TA,R4,2024-08-14,17.0
TA,R4,2024-08-14,17.0
TA,R4,2024-08-14,21.0
TA,R5,2024-07-31,17.0
TA,R5,2024-07-31,17.0
TA,R5,2024-07-31,20.0
TA,R5,2024-07-31,19.0
TA,R5,2024-08-07,18.5
TA,R5,2024-08-07,18.0
TA,R5,2024-08-07,20.5
TA,R5,2024-08-07,23.0
TA,R5,2024-08-14,23.0
TA,R5,2024-08-14,18.0
TA,R5,2024-08-14,19.0
TA,R5,2024-08-14,17.0
TB,R1,2024-07-31,19.0
TB,R1,2024-07-31,17.0
TB,R1,2024-07-31,24.0
TB,R1,2024-07-31,17.0
TB,R1,2024-08-07,23.5
TB,R1,2024-08-07,20.0
TB,R1,2024-08-07,21.0
TB,R1,2024-08-07,24.0
TB,R1,2024-08-14,21.0
TB,R1,2024-08-14,19.0
TB,R1,2024-08-14,20.0
TB,R1,2024-08-14,24.0
TB,R2,2024-07-31,23.0
TB,R2,2024-07-31,17.0
TB,R2,2024-07-31,23.0
