index,date,treatment,repetition,length_in_cm,width_in_cm
0,2024-07-31,TA,R1,20.0,4.0
1,2024-07-31,TA,R1,23.0,4.0
2,2024-07-31,TA,R1,19.0,3.0
3,2024-07-31,TA,R1,16.0,2.0
4,2024-07-31,TA,R2,17.0,3.0
5,2024-07-31,TA,R2,18.0,2.0
6,2024-07-31,TA,R2,16.0,2.0
7,2024-07-31,TA,R2,17.0,2.0
8,2024-07-31,TA,R3,21.0,3.0
9,2024-07-31,TA,R3,17.0,2.0
10,2024-07-31,TA,R3,19.0,3.0
11,2024-07-31,TA,R3,18.0,3.0
12,2024-07-31,TA,R4,16.0,2.0
13,2024-07-31,TA,R4,20.0,3.0
14,2024-07-31,TA,R4,19.0,2.0
15,2024-07-31,TA,R4,19.0,3.0
16,2024-07-31,TA,R5,17.0,3.0
17,2024-07-31,TA,R5,17.0,3.0
18,2024-07-31,TA,R5,20.0,3.0
19,2024-07-31,TA,R5,19.0,2.0
20,2024-07-31,TB,R1,19.0,3.0
21,2024-07-31,TB,R1,17.0,2.0
22,2024-07-31,TB,R1,24.0,3.0
23,2024-07-31,TB,R1,17.0,2.0
24,2024-07-31,TB,R2,23.0,3.0
25,2024-07-31,TB,R2,17.0,2.0
26,2024-07-31,TB,R2,23.0,3.0
27,2024-07-31,TB,R2,16.0,2.0
28,2024-07-31,TB,R3,20.0,3.0
29,2024-07-31,TB,R3,18.0,3.0
30,2024-07-31,TB,R3,16.0,2.0
31,2024-07-31,TB,R3,18.0,3.0
32,2024-07-31,TB,R4,18.0,2.0
33,2024-07-31,TB,R4,16.0,2.0
34,2024-07-31,TB,R4,20.0,3.0
35,2024-07-31,TB,R4,19.0,3.0
36,2024-07-31,TB,R5,17.0,2.0
37,2024-07-31,TB,R5,16.0,3.0
38,2024-07-31,TB,R5,19.0,2.0
39,2024-07-31,TB,R5,16.0,2.0
40,2024-07-31,TC,R1,21.0,3.0
41,2024-07-31,TC,R1,16.0,2.0
42,2024-07-31,TC,R1,24.0,3.0
43,2024-07-31,TC,R1,14.0,2.0
44,2024-07-31,TC,R2,16.0,2.0
45,2024-07-31,TC,R2,20.0,3.0
46,2024-07-31,TC,R2,23.0,3.0
47,2024-07-31,TC,R2,22.0,3.0
48,2024-07-31,TC,R3,19.0,3.0
49,2024-07-31,TC,R3,26.0,4.0
50,2024-07-31,TC,R3,19.0,3.0
51,2024-07-31,TC,R3,20.0,3.0
52,2024-07-31,TC,R4,16.0,2.0
53,2024-07-31,TC,R4,20.0,2.0
54,2024-07-31,TC,R4,21.0,3.0
55,2024-07-31,TC,R4,16.0,2.0
56,2024-07-31,TC,R5,16.0,2.0
57,2024-07-31,TC,R5,18.0,2.0
58,2024-07-31,TC,R5,19.0,3.0
59,2024-07-31,TC,R5,27.0,4.0
60,2024-08-07,TA,R1,17.0,2.5
61,2024-08-07,TA,R1,19.0,3.0
62,2024-08-07,TA,R1,20.0,3.5
63,2024-08-07,TA,R1,26.0,4.0
68,2024-08-07,TA,R4,16.5,2.0
69,2024-08-07,TA,R4,21.0,3.0
70,2024-08-07,TA,R4,17.0,2.0
71,2024-08-07,TA,R4,18.0,3.0
72,2024-08-07,TB,R4,17.0,2.0
73,2024-08-07,TB,R4,18.5,2.0
74,2024-08-07,TB,R4,19.0,3.0
75,2024-08-07,TB,R4,24.0,4.0
76,2024-08-07,TB,R1,23.5,4.0
77,2024-08-07,TB,R1,20.0,3.0
78,2024-08-07,TB,R1,21.0,3.0
79,2024-08-07,TB,R1,24.0,4.0
80,2024-08-07,TA,R3,15.0,2.0
81,2024-08-07,TA,R3,16.5,2.0
82,2024-08-07,TA,R3,15.0,2.0
83,2024-08-07,TA,R3,19.0,2.0
92,2024-08-07,TA,R5,18.5,3.0
93,2024-08-07,TA,R5,18.0,2.0
94,2024-08-07,TA,R5,20.5,3.0
95,2024-08-07,TA,R5,23.0,3.0
96,2024-08-07,TB,R2,17.5,2.5
97,2024-08-07,TB,R2,20.0,3.0
98,2024-08-07,TB,R2,21.0,3.0
99,2024-08-07,TB,R2,25.0,4.0
104,2024-08-07,TA,R2,16.5,2.5
